username,Comments
_opick_suaeb,Jajaran keluarga RT yang dapat STB Gratisss
shifa.rizki,Apa ini akun kominfo isinya spam smua 😂
alan_bw,Hmm. Benahi support system biar seluruh channel agar dapat dijangkau seluruh masyarakat. Jangan cuma bikin aturan tapi ga ada solusi. Saya sudah beli tv digital baru. Tapi nonton tv digital isinya blank dan patah2. Kan kalo gini jadi males nonton tv. Jadi tolong kominfo saya tegaskan benahi infrastruktur dan support system agar saluran tv digital dapat maksimal dan dinikmati masyarakat.
samsir_adrian,"Ada yg sudah digital tapi belum HD, ngga enak ditonton, gambar orang nya gendut gedut dan pendek. Padahal itu tv swasta terkenal"
zaenaljr,ganti ke digital eh stasiun tv nya blom semua tersedia di wilayah sini
t4keru,"alah Hoax,, dr jaman taun kapan ge hoax mulu"
master_bigpapa,Tolong blokir itu link judi online yng banyak beredar
aldoone01,Ga adaa yaa ga ada tuh dikampung saya pembagian STB ngacoo si ibu
anezciel91,"Gausah ada STB-STB, gratiskan internet saja, emang manfaatnya apa kalo Tv analog dipindah ke Digital? Kalo isinya blunder dan acara yg ga mendidik? Kalo nanti isinya acara2 yg inovatif, baru bagus, kalo isinya sama aja ky tv analog yg setiap harinya sinetron, hiburan anak, pendidikan dan olahraga ga ada, sama aja kerja kalian ga bener, cuma buang2 duit rakyat untuk infrastruktur yg ga penting, lebih nyampah dari sampah masyarakat kalo gitu, kami tau komentar kami pasti ga dibaca, tapi kami juga ga menginginkan adanya kalian."
inggridavenue,Kenapa ya di youtube sekarang iklan nya kebanyakan aplikasi pinjol. Sangat meresahkan. mohon lebih di filter lg. Krna pinjol lg marak memakan korban. Terima kasih
irma.rahmawati2b,"😢😢😢😢😢, di rumah keluarga saya  hanya ada TV analog, Dan itu Salah satu Sumner hiburan keluarga."
oshmara19,Yang penting blokir judi online aja . Pasti rakyat indonesia senang
iskandar_dragon,Emang apa penting nya dimatikan siaran analog. Yang lebih penting gimana data masyarakat Indonesia tdk di jual belikan oleh healer.
lantentions,"Terus misal ada berita penting gmn,yang gak punya tv digital🤓"
sihatipatah,Gimana mau pindah ke tv digital kalau chanel TVnya belumlah lengkap. Daerah MADURA masih belum sepenuhnya stasiun TVnya pindah ke siaran digital. Tolong segera ditindak lanjuti
khoirulrivani,"Stabilkan aja dulu di daerah daerah, masih sangat susah dijangkau menggunakan STB merek apapun karena didaerah masih banyak pepohonan tinggi, didaerah tolong diperbanyak tower pemancar sinyal digital dulu, setelah semua stabil baru analog dimatikan"
kuya.kiko,"dikit2 bantuan. . .  apa pemerintah gak mikirin yg model prioritas ya?kl di toko2 stb bisa dapet harga 100rban, pengadaan pemerintah gak yakin bisa dapet harga dibawah 100rb.mbok ya bisa bikin rakyat ini sejahtera mau beli2 harga murah, kerjaan lancar. kalau boleh usul pemerintah sekalian bantu kami gratis listrik biar bisa nonton tv sepuasnya. terima kasih kalau di perhatikan."
dinikhan02,Tapi saya daerah Jaksel belum mendapatkan bantuan stb
rafardhanw,Pemaksaan...🔥Bikin program jgn bikin susah rakyaaat ngaaapaaa....🔥🔥
davidkorohama,Janji stb gratisnya mana😂
_opick_suaeb,Jajaran keluarga RT yang dapat STB Gratisss
shifa.rizki,Apa ini akun kominfo isinya spam smua 😂
alan_bw,Hmm. Benahi support system biar seluruh channel agar dapat dijangkau seluruh masyarakat. Jangan cuma bikin aturan tapi ga ada solusi. Saya sudah beli tv digital baru. Tapi nonton tv digital isinya blank dan patah2. Kan kalo gini jadi males nonton tv. Jadi tolong kominfo saya tegaskan benahi infrastruktur dan support system agar saluran tv digital dapat maksimal dan dinikmati masyarakat.
samsir_adrian,"Ada yg sudah digital tapi belum HD, ngga enak ditonton, gambar orang nya gendut gedut dan pendek. Padahal itu tv swasta terkenal"
zaenaljr,ganti ke digital eh stasiun tv nya blom semua tersedia di wilayah sini
t4keru,"alah Hoax,, dr jaman taun kapan ge hoax mulu"
master_bigpapa,Tolong blokir itu link judi online yng banyak beredar
aldoone01,Ga adaa yaa ga ada tuh dikampung saya pembagian STB ngacoo si ibu
anezciel91,"Gausah ada STB-STB, gratiskan internet saja, emang manfaatnya apa kalo Tv analog dipindah ke Digital? Kalo isinya blunder dan acara yg ga mendidik? Kalo nanti isinya acara2 yg inovatif, baru bagus, kalo isinya sama aja ky tv analog yg setiap harinya sinetron, hiburan anak, pendidikan dan olahraga ga ada, sama aja kerja kalian ga bener, cuma buang2 duit rakyat untuk infrastruktur yg ga penting, lebih nyampah dari sampah masyarakat kalo gitu, kami tau komentar kami pasti ga dibaca, tapi kami juga ga menginginkan adanya kalian."
inggridavenue,Kenapa ya di youtube sekarang iklan nya kebanyakan aplikasi pinjol. Sangat meresahkan. mohon lebih di filter lg. Krna pinjol lg marak memakan korban. Terima kasih
irma.rahmawati2b,"😢😢😢😢😢, di rumah keluarga saya  hanya ada TV analog, Dan itu Salah satu Sumner hiburan keluarga."
oshmara19,Yang penting blokir judi online aja . Pasti rakyat indonesia senang
iskandar_dragon,Emang apa penting nya dimatikan siaran analog. Yang lebih penting gimana data masyarakat Indonesia tdk di jual belikan oleh healer.
lantentions,"Terus misal ada berita penting gmn,yang gak punya tv digital🤓"
sihatipatah,Gimana mau pindah ke tv digital kalau chanel TVnya belumlah lengkap. Daerah MADURA masih belum sepenuhnya stasiun TVnya pindah ke siaran digital. Tolong segera ditindak lanjuti
khoirulrivani,"Stabilkan aja dulu di daerah daerah, masih sangat susah dijangkau menggunakan STB merek apapun karena didaerah masih banyak pepohonan tinggi, didaerah tolong diperbanyak tower pemancar sinyal digital dulu, setelah semua stabil baru analog dimatikan"
kuya.kiko,"dikit2 bantuan. . .  apa pemerintah gak mikirin yg model prioritas ya?kl di toko2 stb bisa dapet harga 100rban, pengadaan pemerintah gak yakin bisa dapet harga dibawah 100rb.mbok ya bisa bikin rakyat ini sejahtera mau beli2 harga murah, kerjaan lancar. kalau boleh usul pemerintah sekalian bantu kami gratis listrik biar bisa nonton tv sepuasnya. terima kasih kalau di perhatikan."
dinikhan02,Tapi saya daerah Jaksel belum mendapatkan bantuan stb
rafardhanw,Pemaksaan...🔥Bikin program jgn bikin susah rakyaaat ngaaapaaa....🔥🔥
davidkorohama,Janji stb gratisnya mana😂
mieyanthie05,"Pembagian setopbox nya di wilayah sy se rt cm dpt 3, udh gtu klo pas di pasang ke tv ga support ya ga dpt... Bgg itu nama² yg dpt datanya random gmn ya milihnya itu koninfo?"
no_titlee,"Blokir aja semua tuh TV, gak perlu tuh lg siaran televisi yg gak bermutu selain acara sepakbola😂"
fina.liviana.5,Tapi kita belom beli stb nya gmn niii apakah tidak ada bantuan untuk dapat stb
sumiatisanu21,Maksaain ke hendak banget beli alat digital pake duuuuuuuut.....bu..buat makan aj susaaaah ............lihat rakyaaaaaaat .dong lg merintih ......susah cari buat makaaaaaaaan........
mazz.mazzz,Pak. Di desa saya belum dapat bantuan STB pak.... Gimana ini? Gabisa nonton TV.
agung_priyanto82,"Oo belum ya, saya kira sudah di putus"
indi_albari,"Tercium bau-bau bisnis dan di kenakan pajak buat masyarakat nih. Ok Set box digratiskan, terus apakah di kenakan pembayaran perbulannya? Menengah kebawah."
vapienks,Mau tertawa tapi takut dimarahi MERTUA......durdirdaeng....migisdaaeng.......😂😂😂😂😂😂
naatiina,"Udh digital juga channelnya gk lengkap patah"" pula😤"
rifatt_hm,Misal dimatiin semua pemasukan dari iklan berkurang gk ya?
muchamadnurfuadi,Gile njir akun Kominfo beli follower 😂
indra_1094,"Kasian nonton bola jadinya layar hitam, kalau g gitu ganti sinetron😂, panjang umur bisnis"
muhamad_abdullah248,"Orang tua saya dikampung beli stb harga -+300-350, emng ada pembagian stb yg gratis ya"
gsf.commander.josh,Ini orang asing kenapa pada nyasar kesini????
bodsant,Pantes aja di hack 😂 bikin lawak aja
liabekasi2022,"Stb blm mampu beli udh mau di matiin aja tgl 5,  nunggu stb gratis mustahil,  kata ema gw drpd buat beli stb mndingan buat beli beras sekarung😂😂"
re_zain,Apa cm gw yg ga pernah nonton tipi sejak 5 taun terakhir
usman_bgr17,"Udah dapet stb, sinyal digital ga dapet padahal ga di pelosok"
btr_wyzenn,Cek xnxx dh di blokir sama kominfo
bangbenz215,Di hack lu ntar dut badut tvnya
abekz,mau ganti antena macam apapun.. stb digital murah dna mahal tetap saja saya gak pernah kebagian siaran digital nya.. apakah tinggi antenna luar pengaruh mendapatkan siaran nya? lokasi saya jakbar serta Tangerang.. 😂
sumiatisanu21,Stb beli.stb beli
anas.ir97,Ngcek lyanan tv dgital di daerah gmn cranya?
nando_wardani,Acara bagian stb nya emang udah? Kok tiba2 cabut analog?😂
5275_hani,"Lah saya belum kebagian STB ,,gmn tuh bu😢"
nitip_maak,Stb di jual nanti sama oknum bukan di bagiin ke warga😂😂😂😂😂
ardy_oxz,"Yg ndak penting² amat malah di sibukin, kominfo skrng payah😂"
my.nameskar,Tv isinya lawakak negara semua lebih baik nonton youtube yg bisa kita pilih ke buat nonton film kartun 🤣😂 gue udh stop nonton tv dri 1 thn yg lalu 😄
no_titlee,Apa lg yg mau dipercaya sama pemerintah?
wandi182,"Secepatnya juga gpp, udah lama gak pernah pake"
mawimsm,Keluarga saya masih pakai tv analog lagi😢
atyd_st,Opini yang bagus sekarang bagiin STB
cepyblog,kaltim kapan ASO min?🥺
dienshop9,Stb udah punya tpi chanel na yg ga ada ini begimanee👏👏👏👏👏👏
herm4n_kuchiki,"Kmren agustus,trus september,nnti oktober,"
riskyananta2,wilayah Yogyakarta kapan?
habib_imam_maulid,Makin kocag aja liat pemerintahku begini😂
luthfimiftahurrah,Jateng kapan aso nya pak?
n_af4nd1_78,Baguslah... biar bnyak yg gbsa nonton TV... biar semua kembali ke kitab agama nya masing2 yg lbh berguna... klu mau nonton ada YouTube dll pasti yg di tonton yg bagus2 krn bayar... terimakasih
abuabu_bekasi,ini pemaksaan gak!
sobri9873,Wuih mantap berapa jta stb yg bakal di beli
farhan_barok,Wkkwkw land
ramandabayu,Giveaway STB?
naziraayda,Ngga peduli ngga nonton tv juga😂
hikmah.nuraini,"@kemenkominfo pembagian set top box tidak sesuai disini karna KL mau ngambil set top box harus bayar 50 RB KL ga punya duit ya ga di kasih tlng dong KL mau ada pembagian secara gratis harus lewat orang2 pusat yg datengin secara langsung dr rumah ke rumah yg bener2 membutuhkan,"
omarina__,Alhamdulilaaaaahhh
pria.husada,Apalagi ini...😂
sijukijuki,"Gw jualan follower nih, minat?"
wisnuarie9,Sy belum dapet
geralf__,"udh gapernah nonton tv 😂, informasi semua udh ada di hp 😂"
firdaus_0503,Kita blm dapat stb
uuno_dnd,Blm dpt STB min 😂
rafialfajri15,"Udah lama gak nonton tv, banyak dagelannya"
ridwanfatahridwan96,mohon dimana saya bisa menghubungi anda? saya sangat butuh pertolongan anda pak
fithrisumarni,STB Nya belum dpt😂
cloudscecarmalcorps,Klo digital perlu SBT kah?? Klo gada dpt gratis sih gapapa.. klo beli kasian penambahan uang tak terduga.. hmmm maksa gini apakah perusahaan stb ada proyek / tender sama yg buat aturan?? #ini nanya loh pak 🙏🏻
lembagapenyiaran,Oke mantap
dippu_carvin_,@brr14n 🔥
adli_hazmi,Hashh
handy_abdillah,Apakah nanti nya setelah digital masyarakat diwajibkan iuran?
thisishumann__,min beli followers abis berapa 😃
r_romani_bin_romani,ini bisnis
marni_mp,@mr.pamungkass_ pie pak
gatra_inst,pret ah
andhika_fazri,Nanti mundur lagi ke November… terus aja mundur ASO nya 😂
yaaseenn_17,Taun 2022 gini Ad yg msi nntn tv ?
m.amrullah88,"Kepada kominfo, KALAU BISA jangan dimatikan 😂"
richardchandra8,Klo skrg nontonnya pake hp live stream 😂😂 nonton tv cmn bwt motogp aja
dianirmaningtyas,Cc @pemkotbogor @kominfobogor
austin_benson12,"i never believe it until i experienced it.  For a start I deposited $2,000 to test the waters, in 5days I got a return of $19,450 her diligence and honesty is undeniable to trade your Bitcoins don't hesitate to Dm @anastasia_theoron.fx"
wasianio,"I am overwhelmed with joy right now, I can now pay my bills and take good care of my family, thank you for bringing happiness to my home and with just an investment of $1,000 I got $11,000 in 7 days I am thankful @anastasia_theoron.fx"
wayne_berryy,"I am so glad that I met you, I have never seen Essential three dollar cute she is a kind hearted woman and also 1000% reliable when it comes in keeping to her words,thanks once again @anastasia_theoron.fx"
mr.f_jee,"OI USELESS udah sok asik mau ngambil hati para wibu, skrg ngurusin tv analog dulu, benerin atasan lu dlu oi USELESS"
clayton_cartter,"𝙼𝚞𝚌𝚑 𝚓𝚘𝚢 𝚒𝚗 𝚖𝚢 𝚑𝚎𝚊𝚛𝚝, 𝚓𝚞𝚜𝚝 𝚛𝚎𝚌𝚎𝚒𝚟𝚎𝚍 𝚖𝚢 𝚙𝚛𝚘𝚏𝚒𝚝 𝚘𝚏 $55,000 𝚒 𝚌𝚊𝚗 𝚗𝚘𝚠 𝚌𝚕𝚎𝚊𝚛 𝚞𝚙 𝚊𝚕𝚕 𝚖𝚢 𝚋𝚒𝚕𝚕𝚜. 𝚃𝚑𝚊𝚗𝚔 𝚢𝚘𝚞 𝚊𝚗𝚍 𝙶𝚘𝚍 𝚋𝚕𝚎𝚜𝚜 𝚢𝚘𝚞 𝚊𝚗𝚍 𝚢𝚘𝚞𝚛 𝚏𝚊𝚖𝚒𝚕𝚢 @anastasia_theoron.fx"
